"Product","Fat_g","Carbs_g","Protein_g","Calories"
"Cornmeal Beverage With Chocolate Milk","2.38","20.98","1.89","109"
"Peanut Butter Chocolate Covered","28.36","58.59","10.45","513"
"Toffee Chocolate-Coated With Nuts","18.22","66.83","7.62","446"
"Fudge Chocolate With Nuts","18.93","67.93","4.38","461"
"Halvah Chocolate Covered","31.25","58.08","7.88","526"
"Chocolate-Flavored Sprinkles","30.04","66.8","1.99","511"
"Marshmallow Chocolate Covered","10.4","75.03","2.43","375"
"Nougat Chocolate Covered","9.51","83.15","4.54","436"
"Nuts Chocolate Covered Not Almonds Or Peanuts","41.6","42.05","11.39","568"
"Peanut Bar Chocolate Covered Candy","32.45","51.12","13.07","526"
"Twix Chocolate Fudge Cookie Bars","33.3","56","7.3","550"
"Chocolate Milk With Nuts Not Almond Or Peanuts","35.06","52.5","8.64","552"
"Milk Chocolate Candy With Fruit And Nuts","24.38","59.98","7.58","456"
"Chocolate Candy With Fondant And Caramel","20.12","69.3","5.54","478"
"Chocolate Sweet Or Dark","33.2","60.18","4.5","528"
"Chocolate Sweet Or Dark With Almonds","33.81","56.48","6.55","553"
"Chocolate White With Almonds","35.15","53.15","8.2","547"
"Coconut Candy Chocolate Covered","26.6","58.59","4.6","486"
"Gumdrops Chocolate Covered","8.3","87.84","2.14","435"
"Fudge Chocolate Chocolate-Coated","16.18","71.33","3.97","448"
"Fudge Chocolate Chocolate-Coated With Nuts","22.15","65.37","5.36","483"
"Fudge Chocolate","10.41","76.44","2.39","411"
"Almonds Chocolate Covered","45.66","30.89","17.27","574"
"Caramel Candy Chocolate Covered","13.06","72.95","5.3","417"
"Caramel With Nuts And Cereal Chocolate Covered","25.1","61.51","6.66","491"
"Topping Chocolate Flavored Hazelnut Spread","29.73","62.16","5.41","541"
"Topping Milk Chocolate With Cereal","50.56","41.77","5.35","623"
"Chocolate Dip","13.06","65.39","3.33","388"
"Cereal (General Mills Chex Chocolate)","8.39","81.09","4.8","412"
"Cereal (General Mills Cheerios Chocolate)","5.09","83.5","5.8","380"
"Cereal (General Mills Lucky Charms Chocolate)","4.4","84.4","5.59","381"
"Wheat Cereal Chocolate Flavored Cooked","0.47","11.02","1.79","49"
"Rice Dessert Bar Frozen Chocolate Nondairy Chocolate Covered","14.82","25.06","4.07","237"
"Waffle Chocolate From Frozen","10.5","48.94","7.43","320"
"Waffle Chocolate From Fast Food / Restaurant","28.67","46.09","8.59","476"
"Waffle Chocolate","22.5","48.63","9.06","433"
"Pancakes With Chocolate From Frozen","7.97","38.83","5.35","248"
"Pancakes With Chocolate From Fast Food / Restaurant","18.52","40.01","7.45","357"
"Pancakes With Chocolate","15.77","41.17","7.67","338"
"Pretzels Hard White Chocolate Coated","14.12","74.77","5.94","442"
"Doughnut Cake Type Chocolate Covered Dipped In Peanuts","23","47.72","5.74","418"
"Doughnut Chocolate Raised Or Yeast With Chocolate Icing","19.66","54","5.9","405"
"Doughnut Chocolate Raised Or Yeast","22.27","48.39","6.68","412"
"Doughnut Raised Or Yeast Chocolate Covered","19.42","52.61","5.38","405"
"Doughnut Chocolate Cream-Filled","18.36","41.66","5.48","354"
"Crepe Chocolate Filled","5.52","20.82","5.46","156"
"Pie Chiffon Chocolate","15","41.43","6.39","325"
"Pie Chocolate-Marshmallow","20.64","47.28","4.6","390"
"Pie Pudding Chocolate With Chocolate Coating Individual Size","22.2","42.96","4.3","389"
"Pie Toll House Chocolate Chip","39.21","44.71","5.86","535"
"Pie Chocolate Cream Individual Size Or Tart","13.83","36.19","5.3","289"
"Cookie Graham Cracker With Chocolate And Marshmallow","18.57","68.97","6.36","465"
"Cookie Oatmeal With Chocolate Chips","20.92","67.56","5.72","457"
"Cookie Peanut Butter With Chocolate","25.29","59.51","7.8","475"
"Cake Sponge Chocolate","8.75","66.45","4.12","354"
"Cookie Chocolate Chip Made From Home Recipe Or Purchased At A Bakery","28.18","59.31","5.8","490"
"Cake Ice Cream And Cake Roll Chocolate","16.28","40.67","3.49","313"
"Cake Pound Chocolate","18.29","61.38","5.42","414"
"Cake Batter Raw Chocolate","13.48","40.55","4.35","290"
"Cheesecake Chocolate","25.82","32.55","5.97","374"
"Cake Or Cupcake Chocolate Devil’s Food Or Fudge Without Icing Or Filling","15.14","45.56","4.89","326"
"Cake Or Cupcake German Chocolate With Icing Or Filling","21.92","51.49","3.85","401"
"Muffin Chocolate Chip","18.55","55.29","5.64","397"
"Muffin Chocolate","18.2","50.81","6.39","390"
"Croissant Chocolate","22.79","49.4","7.4","421"
"Trail Mix With Chocolate","32.2","48.31","11.62","501"
"Peanut Butter And Chocolate Spread","34.48","42.76","11.66","498"
"Tofu Frozen Dessert Chocolate","14.75","25.02","3.38","237"
"Mousse Chocolate","14.97","16.24","4.31","209"
"Pudding Tapioca Chocolate Made With Milk","2.29","21.32","3.59","112"
"Pudding Chocolate Prepared From Dry Mix Milk Added","2.04","18.98","3.13","105"
"Pudding Chocolate Prepared From Dry Mix Low Calorie Containing Artificial Sweetener Milk Added","2.09","10.26","3.6","74"
"Pudding Ready-To-Eat Chocolate And Non-Chocolate Flavors Combined","4.19","22.8","1.77","136"
"Light Ice Cream Cone Chocolate","3.5","30.04","4.56","168"
"Light Ice Cream No Sugar Added Cone Chocolate","8.62","32.88","5.03","227"
"Light Ice Cream Sundae Soft Serve Chocolate Or Fudge Topping With Whipped Cream","10.64","35.8","4.27","255"
"Light Ice Cream Sundae Soft Serve Not Fruit Or Chocolate Topping With Whipped Cream","5.57","36.78","3.26","203"
"Light Ice Cream Sundae Soft Serve Chocolate Or Fudge Topping Without Whipped Cream","4.16","32.01","4.82","182"
"Light Ice Cream Sundae Soft Serve Not Fruit Or Chocolate Topping Without Whipped Cream","1.95","30.55","3.98","148"
"Ice Cream Cone With Nuts Chocolate Ice Cream","15.63","29.33","6.3","274"
