"Origin","Cocoa.Percent","Ingredients","Characteristics","Rating"
"Tanzania","76%",3,"rich cocoa, fatty, bready",3.25
"Dominican Republic","76%",3,"cocoa, vegetal, savory",3.5
"Madagascar","76%",3,"cocoa, blackberry, full body",3.75
"Fiji","68%",3,"chewy, off, rubbery",3
"Venezuela","72%",3,"fatty, earthy, moss, nutty,chalky",3
"Uganda","80%",3,"mildly bitter, basic cocoa, fatty",3.25
"India","68%",3,"milk brownie, macadamia,chewy",3.5
"Venezuela","78%",2,"sandy, astringent, soil, grassy",2.75
"Venezuela","78%",2,"sl. dry, fruit, cocoa, ham",3
"Bolivia","70%",4,"vegetal, nutty",3.5
"Peru","63%",4,"fruity, melon, roasty",3.75
"Panama","70%",4,"brief fruit note, earthy, nutty",2.75
"Colombia","70%",4,"burnt rubber,alkalyzed notes",2.75
"Madagascar","70%",4,"sticky, red fruit, sour",3
"Burma","70%",4,"sticky, smokey, grass",3
"Brazil","70%",4,"mild tobacco",3.25
"Papua New Guinea","70%",4,"mild fruit, strong smoke",3.25
"Peru","70%",4,"green, nutty, cocoa",3.25
"Peru","70%",4,"cocoa,sour,intense tangerine",3.5
"Ecuador","70%",4,"sandy, nutty, cocoa, fig",3.75
"Venezuela","70%",4,"oily, nut, caramel, raspberry",4
"Peru","63%",3,"sweet, cocoa, tangerine",4
"Venezuela","70%",4,"harsh, leather, earthy",2.75
"Cuba","70%",4,"sliglty dry, papaya",3.5
"Venezuela","70%",4,"nutty, mild choco, roasty",3.5
"Venezuela","70%",4,"astringent, nutty, chocolatey",3.75
"Peru","70%",4,"delicate, hazelnut, brownie",4
"Togo","70%",4,"burnt wood, earthy, choco",2.75
"Togo","70%",4,"roasty, acidic, nutty",3
"Togo","70%",4,"mild profile, chocolaty, spice",3.5
"Peru","70%",4,"grainy texture, cocoa, sweet",3.5
"Sao Tome","63%",4,"sweet, chocolatey, vegetal",3.75
"Venezuela","70%",4,"alluring aroma, powdery,nutty",3.5
"Peru","63%",4,"sweet, dairy, spice, cocoa",3.75
"Mexico","70%",4,"light color, fruit, yogurt",4
"Bolivia","70%",4,"woody, honey, leathery",2.75
"Peru","70%",3,"green banana, roasty, cocoa",3.5
"Indonesia","70%",3,"smoke dominates, hint of fruit",3.75
"Peru","70%",2,"yellow fruit",3.75
"Peru","70%",2,"intense, nutty, cherry, cocoa",3.75
"Mexico","74%",2,"herbal, molasses, hammy",3.25
"Peru","70%",2,"hot cocoa, rich, molasses",3.5
"Fiji","60%",3,"sweet, sublte strawberry",2.75
"Fiji","80%",3,"spicy and candy-like",3.25
"Fiji","88%",3,"orange, floral, lemon",3.5
"Fiji","72%",3,"cocoa and powerful tang",3.5
"Vanuatu","70%",2,"unrefined, sweet, metallic",2.5
"Vanuatu","70%",2,"basic, sweet, cocoa, woody",2.75
"Vanuatu","70%",2,"sweet, cocoa, rubbery",2.75
"Vanuatu","70%",2,"sandy, woody, spicy, sweet",3
"Ecuador","55%",4,"sandy, sweet, banana cream",2.75
"Ecuador","70%",4,"roasty, nutty, coffee",3
"Mexico","70%",3,"gritty, spice, cocoa",3
"Madagascar","75%",4,"strong pepper, musty",2.75
"Brazil","75%",4,"fatty, intense, woody",2.75
"Indonesia","75%",4,"hay, nut, berry",3.75
"Venezuela","75%",5,"sandy, dirt, ashey",2.5
"Peru","75%",5,"cardboard, dirt, roasty",2.5
"Trinidad","65%",6,"roasty, sweet, savory",2.75
"Vietnam","75%",5,"nutty, roasty, odd dairy",2.75
"Madagascar","75%",5,"citrus, fatty, dairy",3
"Mexico","75%",6,"strawberry, cream, gateway",3.5
"Ecuador","70%",3,"sandy, green, floral",3.5
"Nicaragua","70%",3,"sandy, sweet, nibby",3.5
"Tanzania","70%",3,"sandy, melon, banana",3.5
"Vietnam","70%",3,"sandy, sweet, roasty",3.5
"Venezuela","60%",4,"sweet, moldy, off",2.5
"Dominican Republic","60%",4,"sandy, sweet, dairy, spice",3
"Bolivia","60%",4,"grit, sweet, caramel, fruit",3
"Bolivia","80%",4,"gritty, berry, mild bitter",3.25
"Peru","60%",4,"gritty, too sweet, fruit",3.25
"Bolivia","60%",3,"sandy, sweet, pungent",2.5
"Peru","60%",3,"sandy, sweet, sour, off",2.5
"Nicaragua","60%",3,"powdery, sweet, molasses",2.75
"Ecuador","60%",3,"sandy, nutty, earthy, roasty",2.75
"Peru","60%",3,"dry, sweet, caramel",3
"Dominican Republic","70%",3,"sweet, coarse, nutty",3
"Venezuela","70%",4,"waxy, nutty, mint",3
"Madagascar","70%",4,"spice, nut, cocoa, fruit",3.5
"Venezuela","70%",4,"spicy, strawberry",3.75
"Indonesia","70%",4,"sticky, nutty, high acidity",2.75
"Venezuela","70%",4,"hot spice, roasty",3
"Venezuela","70%",4,"woody, red berry, sour",3
"Dominican Republic","70%",4,"orange, cinamon",3.75
"Ecuador","70%",4,"strong spice, intense pepper",4
"Papua New Guinea","70%",4,"tart, lemon, smoke",4
"Ecuador","70%",2,"waxy mouthfeel, spicy",2.75
"Ecuador","85%",2,"fatty, mushroom, off notes",2.75
"Ghana","70%",2,"dry, chalky, fudge-like",3
"Ghana","85%",2,"roasty,oddly sweet,marshmallow",3
"Peru","70%",NA,"raisins, pungent",3
"Peru","70%",NA,"few grits, blackcherry, licorice",3.5
"Peru","72%",3,"oily, vanilla, melon, cocoa",3.25
"Peru","73%",3,"oily, vegetal, nutty, cocoa",3.5
"Belize","64%",4,"roasty, brownie, nutty",3
"Madagascar","66%",2,"fruity, sour",3.25
"Dominican Republic","75%",2,"high roast, high astringnet",3.25
"Papua New Guinea","63%",2,"smokey, savory",3.25
"Venezuela","70%",2,"sandy, roasty, nutty",3.25
"Peru","68%",2,"rich, sour, mild smoke",3.5
"Blend","66%",4,"red wine, rich cocoa, long",3.75
"Ecuador","70%",4,"creamy, earthy, vegetal",3
"Jamaica","70%",4,"sandy, woody, spicy",3
"Grenada","70%",4,"fruity with coffee notes",3.5
"Trinidad","70%",4,"coffee, fruit, woodsy",3.5
"Blend","63%",4,"fatty, dairy, caramel, cocoa",3.5
"Venezuela","70%",4,"creamy, fruit, cocoa",3.75
"Peru","70%",4,"creamy, raspberry, nutty",3.75
"Madagascar","70%",4,"vanilla, mint, roasty",3
"Venezuela","70%",4,"vanilla, nuts, roasty",3
"Venezuela","70%",4,"nutty, mild roasty, vanilla",3
"Blend","75%",4,"sweet, delicate, complex",3.5
"Blend","70%",3,"nut, fatty, rubbery, rich",2.75
"Brazil","85%",4,"creamy, red berry, bitter",2.75
"Brazil","50%",4,"very sweet, bright red, banana",3.75
"Brazil","75%",4,"roasty, fatty, nutty, coffee",3.75
"Brazil","60%",4,"creamy, sweet,cocoa,banana",4
"Brazil","75%",4,"grainy, sweet, poor aftertaste",3.25
"Dominican Republic","75%",2,"chalky, mild fruit, burnt",3
"Bolivia","75%",2,"light roast, caramel, cocoa",3.5
"Belize","75%",2,"burnt toast, cherry",3
"Guatemala","75%",2,"orange citrus, harsh earthiness",3.25
"Mexico","72%",3,"earthy, sour milk, leather",2.5
"Ecuador","75%",3,"bitter, floral, leather",2.75
"Madagascar","75%",3,"sandy, fruity, short",3
"Venezuela","75%",3,"nutty, mild spice, mild earthy",3
"Brazil","75%",2,"floral, chemical off",2.75
"Guatemala","70%",2,"strawberry, butterscotch, off",3.25
"Brazil","70%",2,"creamy, rich, rum, roasty",3.5
"Peru","68%",2,"floral, nutty, rich cocoa",3.5
"Dominican Republic","70%",2,"spicy, brownie, nutty",3.5
"Ecuador","75%",3,"intense, floral, bourbon",3.5
"Ecuador","70%",2,"spicy, cocoa",3.75
"Belize","70%",2,"floral, strawberry, metallic",3.75
"Nicaragua","70%",2,"creamy,sticky, peanut butter",4
"Ecuador","70%",3,"sticky, floral, roasty",3.25
"Ecuador","70%",3,"chewy, mild floral",3.25
"Fiji","70%",2,"smoke, hammy, cocoa base",3.25
"Vietnam","73%",2,"earthy, nutty, cardboard",3.25
"Trinidad","70%",2,"delicate, simple",3.5
"Vietnam","73%",3,"cashew, roasty, chunky melt",3.5
"Guatemala","70%",2,"subtle, mysterious",3.5
"Honduras","70%",2,"nutty, green",3.5
"Tanzania","70%",2,"appealing smoke, woody",3.75
"Nicaragua","70%",3,"muddy, rich cocoa, raspberry",3.75
"Dominican Republic","70%",2,"dark berry, chocolatey",3.75
"Costa Rica","70%",2,"balanced, cherry, choco",4
"Peru","70%",2,"creamy, complex, balanced",4
"India","70%",2,"slight roasty, basic cocoa",3.5
"Madagascar","70%",3,"sour fruit",3.5
"Vietnam","73%",3,"rich cocoa, mild roasty",3.5
"Peru","70%",3,"dried fruit, fig, anise",3.5
"Bolivia","70%",2,"creamy, bright fruit",4
"Haiti","70%",2,"long lasting, cocoa",4
"Trinidad","70%",2,"nuts, dried fruit, short",3
"Colombia","70%",2,"smooth, nutty, cocoa",4
"India","70%",3,"burn butterscotch, rubbery",3
