"Year","Total"
1961,1186344
1962,1213517
1963,1280491
1964,1544590
1965,1229159
1966,1344376
1967,1390511
1968,1246581
1969,1418863
1970,1543399
1971,1638853
1972,1510723
1973,1402063
1974,1556439
1975,1561625
1976,1366511
1977,1452505
1978,1495374
1979,1659869
1980,1670637
1981,1735254
1982,1615319
1983,1604641
1984,1810579
1985,2013982
1986,2118377
1987,2055901
1988,2563305
1989,2640977
1990,2532122
1991,2521946.08
1992,2677030.91
1993,2672283.72
1994,2671268.66
1995,2985764.8
1996,3237670.65
1997,3017083.12
1998,3302840.26
1999,2975444.16
2000,3338446.71
2001,3222552.72
2002,3298203.28
2003,3705194.61
2004,4069807.5
2005,4044040.58
2006,4299996.96
2007,3899062.87
2008,4266011.93
2009,4211422.87
2010,4329482.54
2011,4614809.82
2012,4613816.52
2013,4486251.96
2014,4741947.3
2015,4817460.29
2016,4643997.85
2017,5159324.64
2018,5438354.21
2019,5492530.35
2020,5780849.94
2021,5580432.37
