"Nutrients","Black_40","Black_70","Milk_Choco","White_Choco"
"Energy(kcal)","498","545","547","545"
"Proteins(g)","6.4","8.1","7","7"
"Fat(g)","30.4","42.3","32.1","31.8"
"Sugars(g)","49.6","33","56.5","57.7"
"Fibers(g)","7.5","10.9","2.1","0.4"
"Water(g)","0.5","0.6","1","0.6"
"Micronutrients(g)","5.6","5.1","1.3","2.5"
"Magnesium (mg)","92","206","58","27"
"Calcium(mg)","111","60","202","257"
"Phosphore(mg)","162","248","182","230"
"Manganese(mg)","0.62","1.1","0.4","0"
"Sodium(mg)","17","7","133","67"
"Salt(mg)","43","18","338","170"
"Potassium","380","727","251","350"
"Iron(mg)","11","10.7","2","0.2"
"Copper(mg)","0.58","1.4","0.41","0"
"Zinc (mg)","1.38","2.85","1.2","0.9"
"Selenium (microgrammes)","2.8","3.5","3.5","3"
"Iodine (microgrammes)","2.3","10","23.5","0.8"
"Beta-carotene(microgrammes)","54","32","22","75"
"Vitamine A (retinol)(microgrammes)","0","0","45","0"
"Vitamine D(microgrammes)","2.5",NA,NA,NA
"Vitamine E(mg)","1","0.7","0.9","1.1"
"Vitamine C(mg)","0.25","0","0","0"
"Vitamine B1(mg)","0.07","0.18","0","0"
"Vitamine B2(mg)","0.1","0.3","0.4","0.5"
"Vitamine B3(mg)ou vitamine PP","0.61","0.87","0.53","0.2"
"Vitamine B5(mg)","0.26","0.26","0.45","0.59"
"Vitamine B6(mg)","0.07","0.37","0.04","0.07"
"Vitamine B9(microgrammes)","20","35","11","10"
"Vitamine B12(microgrammes)",NA,"0.27","0.39","0"
